1193588421,Orchesterintendant,,,,
7651336-1,Hypodorischer Kirchenton,$4195058-6,$,$,$
4195058-6,Kirchentonart,$4185656-9$,$$,$$,$$
4063269-6,Vertonung,,,,
7515817-6,Knabenstimme,$4057587-1$4156941-6,$$,$$,$$
1221536710,Aksak,$4132330-0,$,$,$
4509451-2,Tamburinspiel,$4292966-0,$,$,$
4292966-0,Schlaginstrumentenspiel,$4161890-7,$,$,$
4142445-1,Angewandte Musikwissenschaft,$4130526-7,$,$,$
1185603085,Zoomusikologie,$4140204-2$4067960-3,$$,$$,$$
4040808-5,Musikästhetik,$4140204-2$,$$,$$,$$
4487045-0,Gitarrenunterricht,$4027218-7,$,$,$
1212049608,Schlagwerk,$$,$$,$$,$4181511-7$4172708-3
4164058-5,Klavierauszug,$,$,$,$1073935019
4170800-3,Musikalische Aufführungspraxis,$4170825-8$4141464-0$4317474-7,$$$,$$$,$$$
4588916-8,Phrygischer Kirchenton,$4195058-6,$,$,$
7591624-1,Sequenz,$4185693-4,$,$,$
7703220-2,Klarinettenschule,$$,$$,$$,$$
4374569-6,Kognitive Musikwissenschaft,$$,$$,$$,$4140204-2$
4170328-5,Modulation,$4185693-4,$,$,$
4140204-2,Systematische Musikwissenschaft,$,$,$,$4130526-7
7644089-8,Portamento,$$,$$,$$4170800-3,$$
4141811-6,Aleatorik,$4133320-2$,$$,$$,$$
7706643-1,Linkshändiges Klavierspiel,$,$,$,$7542426-5
1081931035,Quartsextakkord,$,$,$,$4141705-7
4141705-7,Akkord,$4023447-2$4030933-2,$$,$$,$$
4023447-2,Harmonie,$,$,$,$
1036531236,Uduspiel,$,$,$,$4292966-0
7851494-0,Neapolitanischer Sextakkord,$7851493-9,$,$,$
1028557604,Hörstück,$4025435-5,$,$,$
4195278-9,Leitmotiv,$4170584-1$$$,$$$$,$$$$4035964-5,$$$$
7699185-4,Finalis,$4195058-6,$,$,$
4845802-8,Heterophonie,$4169330-9,$,$,$
4170824-6,Musikgattung,,,,
4043856-9,Orgelspiel,$4553638-7,$,$,$
4162149-9,Intervall,,,,
7644129-5,Prinzipal,$4292967-2,$,$,$
4292967-2,Trompetenspiel,$4145836-9,$,$,$
4145836-9,Blasinstrumentenspiel,$4161890-7,$,$,$
1024264068,Race record,$$$,$$$,$$$,$4052032-8$$
7542426-5,Einhändiges Klavierspiel,$,$,$,$4030996-4
4491777-6,Querflötenunterricht,$4383370-6,$,$,$
4057583-4,Stimmbildung,$4156945-3$4056519-1,$$,$$,$$
