"uid","pid","tstamp","crdate","cruser_id","deleted","hidden","starttime","endtime","sys_language_uid","l10n_parent","l10n_state","l10n_diffsource","t3ver_oid","t3ver_id","t3ver_label","t3ver_wsid","t3ver_state","t3ver_stage","t3ver_count","t3ver_tstamp","t3ver_move_id","gnd_id","name","date_of_birth","date_of_death","place_of_birth","place_of_death","place_of_activity","geographic_area_code","gender","unmodified_gnd_data","gnd_status","final"
"1","0","1602172879","1602172879","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","01234","Vincenzo Bellini","1801-11-03","1835-09-23","Catania","Puteaux",,"IT","m","0",,"0"
"2","0","1622464761","1602173987","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","78965","Johannes Brahms","1833-03-07","1897-04-03","Hamburg","Wien",,"DE","m","0",,"0"
"3","0","1635247391","1602690306","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116134380","Bergt, August","1772-06-17","1837-02-10","Oederan","Bautzen","Leipzig, Bautzen","XA-DE","m","1",,"2"
"4","0","1614100215","1602753821","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1021441473","Berger, Moritz",NULL,NULL,,,,"XA-DE","m","1",,"0"
"5","0","1614100215","1602754129","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","136212050","Kummer, Friedrich August","1770-09-07","1849-06-22","Dresden","Dresden","Meiningen, Dresden","XA-DE","m","1",,"0"
"6","0","1614100215","1602754753","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116481986","Breitung, Carl",NULL,NULL,,,,"XA-DE","m","1",,"0"
"7","0","1602837585","1602757306","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116397500",,NULL,NULL,,,,,,"0",,"0"
"8","0","1602837589","1602757648","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116397500",,NULL,NULL,,,,,,"0",,"0"
"9","0","1614100215","1602761889","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","139402179","Bliesener, Johann",NULL,NULL,"Preußen","Berlin",,"XA-DE",,"1",,"0"
"10","0","1602837598","1602762624","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217354611",,NULL,NULL,,,,,,"0",,"0"
"11","0","1602837600","1602762658","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217354611",,NULL,NULL,,,,,,"0",,"0"
"12","0","1602837602","1602777497","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217354611",,NULL,NULL,,,,,,"0",,"0"
"13","0","1614100215","1602837316","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116481986","Breitung, Carl",NULL,NULL,,,,"XA-DE","m","1",,"0"
"14","0","1614100215","1602837348","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1021441473","Berger, Moritz",NULL,NULL,,,,"XA-DE","m","1",,"0"
"15","0","1614100215","1602837399","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116131810","Berger, Ludwig","1777-04-18","1839-02-16","Berlin","Berlin",,"XA-DE","m","1",,"0"
"16","0","1635247431","1602837485","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","117026360","Lindner, Frederick","1798-07-05","1846-08-01","Dessau","Dessau","Berlin","XA-DE","m","1",,"2"
"17","0","1614100215","1602853824","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116953829","Methfessel, Albert","1785-10-06","1869-03-23","Stadtilm","Heckenbeck","Rudolstadt, Hamburg, Braunschweig","XA-DE","m","1",,"0"
"18","0","1614100215","1602853859","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217799567","Schneider, Friedrich",NULL,NULL,,,,"XA-DE",,"1",,"0"
"19","0","1614100215","1602853860","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217799567","Schneider, Friedrich",NULL,NULL,,,,"XA-DE",,"1",,"0"
"20","0","1614100215","1602854207","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1170273157","Reiner, Joseph Ewald",NULL,NULL,,,"Warta Bolesławiecka, Halle (Saale), Ostritz","XA-DE","m","1",,"0"
"21","0","1614100215","1602854516","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217800344","Schmidt, C.",NULL,NULL,,,,,,"1",,"0"
"22","0","1614100215","1602854952","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217800344","Schmidt, C.",NULL,NULL,,,,,,"1",,"0"
"23","0","1614100215","1602855166","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116131810","Berger, Ludwig","1777-04-18","1839-02-16","Berlin","Berlin",,"XA-DE","m","1",,"0"
"24","0","1614100215","1602855176","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","11683420X","Mašek, Vincenc",NULL,NULL,,,,"XA-CZ","m","1",,"0"
"25","0","1614100215","1602855181","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1170273157","Reiner, Joseph Ewald",NULL,NULL,,,"Warta Bolesławiecka, Halle (Saale), Ostritz","XA-DE","m","1",,"0"
"26","0","1614100215","1602855191","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","104125489","Quandt, Johann Gottlob von","1787-04-09","1859-06-19","Leipzig","Dresden",,"XA-DE","m","1",,"0"
"27","0","1614100215","1602855441","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","300017324","Beethoven, Ludwig van",NULL,NULL,,,,"XA-DE",,"1",,"0"
"28","0","1614100215","1602855779","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1170273157","Reiner, Joseph Ewald",NULL,NULL,,,"Warta Bolesławiecka, Halle (Saale), Ostritz","XA-DE","m","1",,"0"
"29","0","1614100215","1602855785","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217440879","Morgenroth, ...",NULL,NULL,,,,"ZZ",,"1",,"0"
"30","0","1635249059","1602855789","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","139402179","Bliesener, Johann",NULL,NULL,"Preußen","Berlin",,"XA-DE","m","1",,"2"
"31","0","1614100215","1602856384","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217442642","Richter, Friedrich",NULL,NULL,,,,"ZZ","m","1",,"0"
"32","0","1614100215","1602856400","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217445080","Schmidt, C.",NULL,NULL,,,,"XA",,"1",,"0"
"33","0","1614100215","1602856406","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116512466","Richter, Karl","1819-01-14","1885-05-28","Frankfurt am Main","Braunschweig",,"XA-DE","m","1",,"0"
"34","0","1614100215","1602856414","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1035755866","Zieger, J. G.",NULL,NULL,,,,"ZZ",,"1",,"0"
"35","0","1614100215","1602856423","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217447849","Cramer, Johann Baptist",NULL,NULL,,,,"XA-DE",,"1",,"0"
"36","0","1602856431","1602856431","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217447849",,NULL,NULL,,,,,,"0",,"0"
"37","0","1614100215","1602856917","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","119149419","Krommer, Franz Vinzenz","1759-11-27","1831-01-08","Horská Kamenice","Wien",,"XA-CZ","m","1",,"0"
"38","0","1635247469","1602856924","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","116953829","Methfessel, Albert","1785-10-06","1869-03-23","Stadtilm","Heckenbeck","Rudolstadt, Hamburg, Braunschweig","XA-DE","m","1",,"2"
"39","0","1635247427","1602856930","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","136212050","Kummer, Friedrich August","1770-09-07","1849-06-22","Dresden","Dresden","Meiningen, Dresden","XA-DE","m","1",,"2"
