"uid","pid","tstamp","crdate","cruser_id","deleted","hidden","starttime","endtime","sys_language_uid","l10n_parent","l10n_state","l10n_diffsource","t3ver_oid","t3ver_id","t3ver_label","t3ver_wsid","t3ver_state","t3ver_stage","t3ver_count","t3ver_tstamp","t3ver_move_id","gnd_id","first_composer","intertextual_entity","title","date_of_production","geographic_area_code","zzz_deleted_instrumentation","geographical_area_code","super_work","opus_no","index_no","medium_of_performance","unmodified_gnd_data","zzz_deleted_added_by_project","instruments","gnd_status","form","title_no","title_instrument","alt_titles","tonality","language","final","confirmed_by_slub","zzz_deleted_alt_instrument_ids","genre_ids","main_instrumentation","alt_instrumentation","genres","instrument_ids","alt_instrument_names"
"1","0","1643120074","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217353577","3","0","Der Abschied",NULL,,,,"0",,,,"1","0","3",,"1",,,"Nimm das kleine Angedenken",,,"2","1",,"4035669-3","0","0","1",,
"2","0","1643120074","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217355073","206","0","Quartette",NULL,,,,"0","2",,,"1","0","3",,"1",,"Violoncello","Quatuors","D-Dur A-Dur",,"2","1",,"4176618-0","0","0","1",,
"3","0","1643120074","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217355715","228","0","Variationen",NULL,,,,"0",,,,"1","0","1","n","1",,"Klavier","Variation in Es","Es-Dur",,"2","1",,"4187414-6","0","0","1",,
"4","0","1643120074","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217355847","228","0","Tänze",NULL,,,,"0",,,,"1","0","1",,"1",,"Klavier",,,,"2","1",,"4059028-8","0","0","1",,
"5","0","1643120074","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217356908","213","0","Variationen",NULL,,,,"0","5",,,"1","0","1","n","1",,"Klavier","Variations sur l'Air ""Das klinget so herrlich"" $ O dolce Concento",,,"2","1",,"4187414-6","0","0","1",,
"6","0","1643120074","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1212889746","200","0","Marches militaires","1825-01-01",,,,"0","16",,,"1","0","1","n","1",,,,,,"2","1",,"4168976-8","0","0","1",,
"7","0","1643120075","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217357815","39","0","Variations et Rondeau",NULL,,,,"0","3",,,"1","0","1",,"2",,,,,,"2","1",,"4187414-6$4178454-6","0","0","1",,
"8","0","1643120075","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217358471","213","0","Sonaten",NULL,,,,"0","6",,,"1","0","1","n","1",,"Klavier",,"Es-Dur",,"2","1",,"4131190-5","0","0","1",,
"9","0","1643120075","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217359176","16","0","Pièces",NULL,,,,"0","6",,,"1","0","1",,"1",,"Klavier, 4-händig",,,,"2","1",,"7727983-9","0","0","1",,
"10","0","1643120075","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","121288941X","200","0","Märsche","1825-01-01",,,,"0","21",,,"1","0","1","p","1",,,"Drei Märsche für die Infanterie $ Drei Märsche für Infanterie",,,"2","1",,"4168976-8","0","0","1",,
"11","0","1643120075","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217359788","195","0","Lebenslied",NULL,,,,"0",,,,"1","0","2","n","1",,,,,,"2","1",,"4035669-3","0","0","1",,
"12","0","1643120075","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217439331","42","0","Lieder",NULL,,,,"0","1",,,"1","0","2",,"1",,,"Lieder",,,"2","1",,"4035669-3","0","0","1",,
"13","0","1643120075","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217439552","42","0","Wanderung des Sängers",NULL,,,,"0",,,,"1","0","2","n","1",,,"Es zog ein Sänger durchs Land",,,"2","1",,"4035669-3","0","0","1",,
"14","0","1643120075","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217441026","202","0","Ouvertüren",NULL,,,,"0","2",,,"1","0","1",,"1",,,,"C-Dur",,"2","1",,"4172996-1","0","0","1",,
"15","0","1643120075","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217442006","30","0","Die Friedensfeier",NULL,,,,"0",,,,"1","0","1","n","1",,,"Eine musikalische Vorstellung als Flötenquartett",,,"2","1",,"4176618-0","0","0","1",,
"16","0","1643120075","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217442715","62","0","Gesellschaftslied",NULL,,,,"0",,,,"1","0","2",,"1",,,"Auf, lasst, weil die Jugend",,,"2","1",,"4035669-3","0","0","1",,
"17","0","1643120076","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217445196","86","0","Polonaisen",NULL,,,,"0",,,,"1","0","1","n","1",,"Klavier",,"Es-Dur",,"2","1",,"4209517-7","0","0","1",,
"18","0","1643120076","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217446397","1806","0","Nouvelles Anglaises",NULL,,,,"0",,,,"1","0","1",,"1",,,"Anglaisen",,,"2","1",,"4142457-8","0","0","1",,
"19","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","121744677X","227","0","Valses dans un Genre facile et agréable",NULL,,,,"0",,,,"1","0","1","n","1",,,"Walzer",,,"2","1",,"4189042-5","0","0","1",,
"20","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217447903","1024","0","Rondeaux variés",NULL,,,,"1668",,,,"1","0","1",,"1","Nr. 1",,,,,"2","1",,"4178454-6","0","0","1",,
"21","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217447938","1024","0","Rondeaux variés",NULL,,,,"1668",,,,"1","0","1","n","1","Nr. 2",,,,,"2","1",,"4178454-6","0","0","1",,
"22","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217448764","214","0","Sonaten",NULL,,,,"0",,"P XVIII: 5",,"1","0","1",,"2",,"Klavier, 4-händig",,"C-Dur",,"2","1",,"4188277-5$4131190-5","0","0","2",,
"23","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217505970","38","0","Sonatine facile",NULL,,,,"0",,,,"1","0","1","n","1",,,,,,"2","1",,"4181787-4","0","0","1",,
"24","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217506519","126","0","Walzer",NULL,,,,"0","67",,,"1","0","1",,"1",,"Klavier, 4-händig",,,,"2","1",,"4189042-5","0","0","1",,
"25","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217507582","146","0","Sonaten",NULL,,,,"0","25",,,"1","0","1","n","2",,"Klavier, 4-händig",,"F-Dur",,"2","1",,"4188277-5$4131190-5","0","0","2",,
"26","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217508066","42","0","Gesänge",NULL,,,,"0","2",,,"1","0","2",,"1",,,"Gesänge",,,"2","1",,"4020470-4","0","0","1",,
"27","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","121750852X","180","0","Amusement",NULL,,,,"0","16",,,"1","0","1","n","1",,,"Pièces favorites",,,"2","1",,"7727983-9","0","0","1",,
"28","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217508635","42","0","Variationen",NULL,,,,"0","3",,,"1","0","1",,"1",,"Gitarre","Variations sur un Thème favori","A-Dur",,"2","1",,"4187414-6","0","0","1",,
"29","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217801898","38","0","Journal für die Guitarre","1808-01-01",,,,"0",,,,"1","0","2","n","1",,,,,,"2","1",,"4035669-3","0","0","1",,
"30","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217509062","132","0","Duos",NULL,,,,"0","9",,,"1","0","1",,"1",,"Violoncello (2)","Duos faciles",,,"2","1",,"4138632-2","0","0","1",,
"31","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217509097","1024","0","Rondeaux variés",NULL,,,,"1668",,,,"1","0","1","n","1","Nr. 3",,,,,"2","1",,"4178454-6","0","0","1",,
"32","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1212635132","173","0","Leonora ossia L'amor conjugale","1804-01-01",,,,"1657",,"PaWV 29, Overtura",,"1","0","1","p","1",,,"Leonora $ Leonore $ L'amor conjugale $ Leonore oder Die eheliche Liebe","C-Dur",,"2","1",,"4172996-1","0","0","1",,
"33","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217606866","132","0","Quartette","1808-01-01",,,,"0","12",,,"1","0","3",,"1",,"Violoncello","Quatuors $ String Quartets","Es-Dur g-Moll",,"2","1",,"4176618-0","0","0","1",,
"34","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217816860","42","0","Komische Gesänge","1807-01-01",,,,"1651",,,,"1","0","2","n","1","Nr. 1",,"Ein niedliches Mädel","A-Dur",,"0","1",,"4020470-4","0","0","1",,
"35","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217610081","38","0","Variationen",NULL,,,,"0","7",,,"1","0","1",,"1",,"Klavier","Variations sur le Thème favoris ""Schlafe mein Prinzchen, schlaf ein""",,,"2","1",,"4187414-6","0","0","1",,
"36","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217622047","1024","0","Rondeaux variés",NULL,,,,"1668",,,,"1","0","1","n","1","Nr. 4",,,,,"2","1",,"4178454-6","0","0","1",,
"37","0","1614100215","1602495937","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217622195","1024","0","Nr. 5",NULL,,,,"1668",,,,"1","0","1",,"2",,,,,,"0","1",,"4178454-6","0","0","0",,
"38","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217622918","187","0","Ecossaisen und Walzer",NULL,,,,"0",,,,"1","0","1","n","2",,,,,,"2","1",,"4792229-1$4189042-5","0","0","1",,
"39","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217623264","38","0","Walzer",NULL,,,,"0","8",,,"1","0","1",,"1",,"Klavier, 4-händig","Valses $ Walses",,,"2","1",,"4189042-5","0","0","1",,
"40","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1096511355","38","0","Sonaten",NULL,,,,"0","6",,,"1","0","1",,"2",,"Klavier, 4-händig","Sonaten","C-Dur",,"2","1",,"4188277-5$4131190-5","0","0","2",,
"41","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217623558","38","0","Sonaten","1815-01-01",,,,"0","13",,,"1","0","1","n","1",,"Klavier","Sonates facile",,,"2","1",,"4131190-5","0","0","1",,
"42","0","1643120077","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","110471163X","96","0","Sonaten",NULL,,,,"0","21",,,"1","0","1","q","1",,"Klavier","Sonatine","E-Dur",,"2","1",,"4131190-5","0","0","1",,
"43","0","1643120078","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217623310","38","0","Variationen",NULL,,,,"0","9",,,"1","0","1",,"1",,"Klavier","Sept Variations sur le Menuet de ""Don Juan""","F-Dur",,"2","1",,"4187414-6","0","0","1",,
"44","0","1643120079","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217626573","124","0","Walzer",NULL,,,,"0","4",,,"1","0","1","n","1",,"Klavier, 4-händig","Valses $ Walses",,,"2","1",,"4189042-5","0","0","1",,
"45","0","1603465109","1602495937","0","1","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217627057","31","0","Thalia",NULL,,,,"0","0","0",,"1","0","0",,"0",,,,,,"0","1",,,"0","0","0",,
"46","0","1643120079","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217627545","89","0","Gesänge","1809-01-01",,,,"0","51",,,"1","0","2","n","1",,,"Gesänge",,,"2","1",,"4020470-4","0","0","1",,
