"Metallophon","Idiophon"
"Bariton","Blechblasinstrument"
"Glocke","Schlaginstrument"
"Altquerflöte","Querflöte"
"Platerspiel","Rohrblattinstrument"
"Rohrblattinstrument","Holzblasinstrument"
"Posaune","Blechblasinstrument"
"Oboe","Rohrblattinstrument"
"Sackpfeife","Rohrblattinstrument"
"Glockenspiel","Metallophon"
"Englischhorn","Oboe"
"Drehorgel","Orgel"
"Sistrum","Idiophon"
"Kleine_Trommel","Trommel"
"Bandurria","Zupfinstrument"
"Launedda","Klarinette"
"Trumscheit","Streichinstrument"
"Cornettino","Zink"
"Carillon","Glockenspiel"
"Mandoline","Zupfinstrument"
"Kanun","Brettzither"
"Brettzither","Zither"
"Bassquerflöte","Querflöte"
"Cellone","Violoncello"
"Pfeife","Blasinstrument"
"Viola_d_Amore","Viola_da_Gamba"
"Ventilhorn","Blechblasinstrument"
"Kastagnetten","Klapper"
"Klapper","Idiophon"
"Saxofon","Rohrblattinstrument"
"Bassgambe","Viola_da_Gamba"
"Schalmei","Rohrblattinstrument"
"Celesta","Klavier"
"Trommel","Schlaginstrument"
"Alboka","Rohrblattinstrument"
"Flöte","Holzblasinstrument"
"Zink","Blechblasinstrument"
"Appalachian_dulcimer","Zither"
"Gitarre","Zupfinstrument"
"Dobro","Zupfinstrument"
"Pennywhistle","Flöte"
"Klavichord","Saitenklavier"
"Wölbbrettzither","Zither"
"Melodica","Harmonikainstrument"
"Baryton","Streichinstrument"
"Aulos","Rohrblattinstrument"
"Glicibarifono","Klarinette"
"Konzertina","Harmonikainstrument"
"Oboe_da_Caccia","Oboe"
"Fidel","Streichinstrument"
"Viola","Streichinstrument"
"Serpent","Zink"
"Blechblasinstrument","Blasinstrument"
"Monochord","Zupfinstrument"
"Holzblasinstrument","Blasinstrument"
"Einhandflöte","Flöte"
"Akkordzither","Zither"
"Kontrabassklarinette","Klarinette"
"Mundorgel","Blasinstrument"
"Liebesklarinette","Klarinette"
"Barockvioline","Violine"
"Cembalo","Kielinstrument"
"Maultrommel","Idiophon"
"Physharmonika","Harmonikainstrument"
"Violone","Kontrabass"
"Viola_pomposa","Violoncello"
"Fagott","Rohrblattinstrument"
"Schlaginstrument"
"Virginal","Kielinstrument"
"Bassett","Kontrabass"
"Hammerklavier","Klavier"
"Laute","Zupfinstrument"
"Ophikleïde","Klappenhorn"
"Klappenhorn","Blechblasinstrument"
"Gbofe","Blasinstrument"
"Pochette","Violine"
"Xylofon","Idiophon"
"Drehleier","Streichinstrument"
"Mechanisches_Musikinstrument"
"Cister","Zupfinstrument"
"Tenorhorn","Blechblasinstrument"
"Balalaika","Zupfinstrument"
"Wagnertuba","Blechblasinstrument"
"Violoncello","Streichinstrument"
"Kleinorgel","Orgel"
"Alphorn","Blasinstrument"
"Tibia","Rohrblattinstrument"
"Viola_bastarda","Viola_da_Gamba"
"Talempong","Idiophon"
"Viola_da_Gamba","Streichinstrument"
"Bassettklarinette","Klarinette"
"Violino_piccolo","Violine"
"Bandola","Zupfinstrument"
"Mechanisches_Klavier","Mechanisches_Musikinstrument"
"Oktobass","Kontrabass"
"Große_Trommel","Trommel"
"Kornett","Blechblasinstrument"
"Klavier","Saitenklavier"
"Okarina","Flöte"
"Mundharmonika","Harmonikainstrument"
"Zither","Zupfinstrument"
"Altgambe","Viola_da_Gamba"
"Orgel","Tasteninstrument"
"Klarinette","Rohrblattinstrument"
"Lyra_viol","Viola_da_Gamba"
"Tamburin","Schlaginstrument"
"Becken","Schlaginstrument"
"Olifant","Blechblasinstrument"
"Serinette","Drehorgel"
"Kastenzither","Brettzither"
"Claves","Schlaginstrument"
"Heckelphon","Oboe"
"Blockflöte","Flöte"
"Pikkoloflöte","Querflöte"
"Querflöte","Flöte"
"Clarinhorn","Blechblasinstrument"
"Flügelhorn","Blechblasinstrument"
"Violotta","Viola_tenore"
"Vibrafon","Metallophon"
"Kontrabass","Streichinstrument"
"Bassetthorn","Klarinette"
"Kielinstrument","Tasteninstrument"
"Tuba","Blechblasinstrument"
"Diskantgambe","Viola_da_Gamba"
"Duca","Pianola"
"Tomtom","Trommel"
"Basse_de_viole","Viola_da_Gamba"
"Panflöte","Flöte"
"Althorn","Blechblasinstrument"
"Viola_tenore","Viola"
"Bandura","Zupfinstrument"
"Bassklarinette","Klarinette"
"Tiba","Blasinstrument"
"Knopfakkordeon","Harmonikainstrument"
"Schneckenhorn","Blechblasinstrument"
"Spinett","Kielinstrument"
"Harfe","Zupfinstrument"
"Marimba","Idiophon"
"Harmonium","Tasteninstrument"
"Banjo","Zupfinstrument"
"Saitenklavier","Tasteninstrument"
"Contradon","Blechblasinstrument"
"Chalumeau","Rohrblattinstrument"
"Trompete","Blechblasinstrument"
"Akkordeon","Harmonikainstrument"
"Pianola","Mechanisches_Klavier"
"Triangel","Schlaginstrument"
"Violine","Streichinstrument"
"Mezzosopran","Stimme"
"Sopran","Stimme"
"Alt","Stimme"
"Tenor","Stimme"
"Bariton","Stimme"
"Bass","Stimme"
"Contra_Alt","Stimme"
"Contra_Tenor","Stimme"
"Pauke","Schlaginstrument"
"Naturtrompete","Trompete"
"Carnyx","Signalinstrument"
"Signalhorn","Signalinstrument"
"Cornu","Signalinstrument"
"Lituus","Signalinstrument"
"Kontrabassblockflöte","Blockflöte"
"Sopranblockflöte","Blockflöte"
"Txistu","Blockflöte"
"Bassblockflöte","Blockflöte"
"Stockflöte","Blockflöte"
"Altblockflöte","Blockflöte"
"Flageolett","Blockflöte"
"Bassposaune","Posaune"
"Cimbasso","Posaune"
"Kontrabassposaune","Posaune"
"Altposaune","Posaune"
"Tenorsaxofon","Saxofon"
"Basssaxofon","Saxofon"
"Sopransaxofon","Saxofon"
"Altsaxofon","Saxofon"
"Kontrabasssaxofon","Saxofon"
"Baritonsaxofon","Saxofon"
"Langhalslaute","Laute"
"Biwa","Kurzhalslaute"
"Kurzhalslaute","Laute"
"Çiftelia","Laute"
"Satsumabiwa","Laute"
"Busuki","Laute"
"Tar","Langhalslaute"
"Mandola","Laute"
"Kobsa","Kurzhalslaute"
"Ud","Kurzhalslaute"
"Dutār","Langhalslaute"
"Colascione","Langhalslaute"
"Erzlaute","Laute"
"Sitar","Langhalslaute"
"Tanbur","Langhalslaute"
"Angelica","Laute"
"Viola_de_cocho","Kurzhalslaute"
"Pluriarc","Laute"
"Cuatro","Gitarre"
"Bassgitarre","Gitarre"
"Tres","Gitarre"
"Harfengitarre","Gitarre"
"Tiple","Gitarre"
"Barockgitarre","Gitarre"
"Ukulele","Gitarre"
"Signalinstrument","Blasinstrument"
"Flötenuhr","Mechanisches_Musikinstrument"
