sub_name,super_name,sub,super,baselevel
Historisches_Lied,Lied,4072548-0,4035669-3,
Arabeske,Charakterstück,4364811-3,4147584-7,
Autorenlied,Lied,4562996-1,4035669-3,
Kammerkonzert,Konzert,7727959-1,4032359-6,
Jig,Volkstanzmusik,4364049-7,4188556-9,
Politisches_Lied,Historisches_Lied,4175049-4,4072548-0,
Kirchenkantate,Kantate,4197226-0,4029509-6,
Intrada,Instrumentalmusik,4364473-9,4129951-6,
Pavane,Höfische_Tanzmusik,4364521-5,4524885-0,
Kavatine,Vokalmusik,4365038-7,4063783-9,
Sonatine,Sonate,4181787-4,4131190-5,
Violinkonzert,Konzert,4188370-6,4032359-6,
Concerto_grosso,Concerto,4148265-7,4396905-7,
Notturno,Charakterstück,4172080-5,4147584-7,
Choralvorspiel,Choralbearbeitung,4147889-7,4147886-1,
Motette,Vokalmusik,4040357-9,4063783-9,
Responsorium,Gregorianischer_Gesang,4177868-6,4021952-5,
Hornpipe,Volkstanzmusik,4364493-4,4188556-9,
Rhapsodie,Charakterstück,4177981-2,4147584-7,
Glee,Vokalmusik,4793466-9,4063783-9,
Psalmmotette,Motette,4375397-8,4040357-9,
Siebensprung,Volkstanzmusik,7584232-4,4188556-9,
Pastorale,Instrumentalmusik,4173512-2,4129951-6,
Lied_ohne_Worte,Charakterstück,4363897-1,4147584-7,
Sepolcro,Oratorium,7699131-3,4129085-9,
Sinfonie,Orchestermusik,4055087-4,4131523-6,
Kriegslied,Lied,4340923-4,4035669-3,
Kassation,Instrumentalmusik,4401561-6,4129951-6,
Anthem,Motette,4142618-6,4040357-9,
Tokkata,Präludium,4185619-3,4137959-7,
Konzertouvertüre,Ouvertüre,4334539-6,4172996-1,
Ricercar,Instrumentalmusik,4205436-9,4129951-6,
Arie,Vokalmusik,4143006-2,4063783-9,
Militärmarsch,Marschmusik,4202513-8,4168976-8,
Cabaletta,Arie,7852501-9,4143006-2,
Intermezzo,Instrumentalmusik,4368532-8,4129951-6,
Guaracha,Lied,4485197-2,4035669-3,
Guaracha,Lied,4485197-2,4035669-3,
Orchestermusik,Instrumentalmusik,4131523-6,4129951-6,
Tropus,Gregorianischer_Gesang,4211530-9,4021952-5,
Sonate,Instrumentalmusik,4131190-5,4129951-6,
Ballet_d_action,Oper,7667134-3,4043582-9,
Suite,Instrumentalmusik,4184006-9,4129951-6,
Gallikanischer_Gesang,Liturgischer_Gesang,4155855-8,4036056-8,
Rebetiko,Lied,4195416-6,4035669-3,
Communio_Gesang,Liturgischer_Gesang,4148239-6,4036056-8,
Znamennyj_Gesang,Liturgischer_Gesang,7703278-0,4036056-8,
Generalmarsch,Militärmarsch,7746451-5,4202513-8,
Kammersinfonie,Sinfonie,4364037-0,4055087-4,
Da_capo_Arie,Arie,7632812-0,4143006-2,
Cantus_firmus_Motette,Motette,1033287474,4040357-9,
Duetto_notturno,Lied,7667145-8,4035669-3,
Präludium,Instrumentalmusik,4137959-7,4129951-6,
Singspiel,Oper,4181515-4,4043582-9,
Vokalise,Vokalmusik,4843504-1,4063783-9,
Jácara,Romanze,4582148-3,4307171-5,
Höfische_Tanzmusik,Tanzmusik,4524885-0,4140677-1,
Madrigal,Vokalmusik,4168452-7,4063783-9,
Tarantella,Volkstanzmusik,4367603-0,4188556-9,
