"uid_local","uid_foreign","sorting","sorting_foreign"
"1","524","1","0"
"1","2305","1","0"
"2","4930","1","0"
"3","7169","1","0"
"4","6875","1","0"
"4","7428","1","0"
"5","7169","1","0"
"5","7170","1","0"
"6","2611","1","0"
"6","4360","1","0"
"7","7169","2","0"
"7","7206","1","0"
"7","7207","1","0"
"8","6033","1","0"
"8","6146","1","0"
"9","4407","1","0"
"9","6689","1","0"
"10","2680","1","0"
"10","4360","1","0"
"11","2089","1","0"
"11","2305","1","0"
"12","2192","1","0"
"12","2305","1","0"
"13","2305","1","0"
"13","7444","1","0"
"14","4317","1","0"
"14","5634","1","0"
"15","698","1","0"
"15","4930","1","0"
"16","1304","1","0"
"16","2305","1","0"
"17","4445","1","0"
"17","4477","1","0"
"18","2915","1","0"
"18","5452","1","0"
"19","3359","1","0"
"19","7153","1","0"
"20","2954","1","0"
"20","7207","1","0"
"21","3147","1","0"
"21","7207","1","0"
"22","3617","2","0"
"22","6068","1","0"
"22","6073","2","0"
"22","6146","1","0"
"23","6616","1","0"
"23","6658","1","0"
"24","3359","1","0"
"24","7296","1","0"
"25","3617","2","0"
"25","6080","1","0"
"25","6085","2","0"
"25","6146","1","0"
"26","769","1","0"
"26","1240","1","0"
"27","174","1","0"
"27","6689","1","0"
"28","7169","1","0"
"28","7172","1","0"
"29","1582","1","0"
"29","2305","1","0"
"30","780","1","0"
"31","3289","1","0"
"31","7207","1","0"
"32","3652","1","0"
"32","5634","1","0"
"33","4930","1","0"
"33","4961","1","0"
"34","687","1","0"
"34","769","1","0"
"35","7169","1","0"
"35","7173","1","0"
"36","3394","1","0"
"36","7207","1","0"
"37","3454","1","0"
"37","7207","2","0"
"38","808","1","0"
"38","817","2","0"
"38","3359","2","0"
"38","7435","1","0"
"39","3359","1","0"
"39","7312","1","0"
"40","3617","2","0"
"40","6092","1","0"
"40","6097","2","0"
"40","6146","1","0"
"41","6104","1","0"
"41","6146","1","0"
"42","6109","1","0"
"42","6146","1","0"
"43","7169","1","0"
"43","7175","1","0"
"44","3359","1","0"
"44","7320","1","0"
"46","769","1","0"
"46","1243","1","0"
"47","769","1","0"
"47","1244","1","0"
"48","4360","1","0"
"49","4445","1","0"
"49","4485","1","0"
"50","2240","1","0"
"50","2305","1","0"
"51","3617","2","0"
"51","6124","1","0"
"51","6129","2","0"
"51","6146","1","0"
"52","7169","1","0"
"52","7209","1","0"
"53","2244","1","0"
"53","2305","1","0"
"54","7055","1","0"
"54","7184","1","0"
"55","2979","1","0"
"55","4930","1","0"
"56","7169","1","0"
"56","7176","1","0"
"57","715","1","0"
"57","2305","1","0"
"58","780","1","0"
"58","782","1","0"
"59","692","2","0"
"59","769","1","0"
"59","1247","1","0"
"59","1248","2","0"
"60","3177","1","0"
"60","4930","1","0"
"61","780","1","0"
"61","784","1","0"
"62","4445","1","0"
"62","4493","1","0"
"63","179","1","0"
"63","1027","1","0"
"64","780","2","0"
"64","6146","1","0"
"64","6196","1","0"
"64","6201","2","0"
"65","6689","1","0"
"65","6712","1","0"
"66","3296","1","0"
"66","4930","1","0"
"67","6146","1","0"
"67","6208","1","0"
"68","4445","1","0"
"68","4501","1","0"
"69","769","1","0"
"69","1253","1","0"
"70","3701","1","0"
"70","5634","1","0"
"71","769","1","0"
"71","1254","1","0"
"72","6923","1","0"
"72","6945","1","0"
"73","1356","1","0"
"73","2305","1","0"
"74","1320","1","0"
"74","7114","1","0"
"75","2305","1","0"
"75","2457","1","0"
"75","2461","2","0"
"75","5128","2","0"
"76","1301","1","0"
"76","4360","1","0"
"77","7169","1","0"
"77","7177","1","0"
"78","6146","1","0"
"78","6223","1","0"
"79","3550","1","0"
"79","7207","1","0"
"80","769","1","0"
"80","1255","1","0"
"81","4412","1","0"
"81","6689","1","0"
"82","3505","1","0"
"82","7207","1","0"
"83","769","1","0"
"83","1256","1","0"
"84","5452","1","0"
"85","7169","1","0"
"85","7212","1","0"
"86","2981","1","0"
"86","6146","1","0"
"87","3184","1","0"
"87","6146","1","0"
"88","2992","1","0"
"88","2993","2","0"
"88","3195","1","0"
"88","7169","2","0"
"89","3195","1","0"
"89","3196","2","0"
"89","7169","2","0"
"90","3195","1","0"
"90","3303","1","0"
"90","3304","2","0"
"90","7169","2","0"
"91","2994","1","0"
"91","7184","1","0"
"92","3197","1","0"
"92","7184","1","0"
"93","3305","1","0"
"93","7184","1","0"
"94","3581","1","0"
"94","7207","1","0"
"95","3822","1","0"
"95","5634","1","0"
"96","1092","1","0"
"96","1095","2","0"
"96","3359","2","0"
"96","4360","1","0"
"97","614","1","0"
"97","769","1","0"
"98","3836","1","0"
"98","5634","1","0"
"99","5128","1","0"
"99","5430","1","0"
"100","5325","1","0"
"100","7207","1","0"
"101","212","1","0"
"101","2305","1","0"
"102","769","1","0"
"103","541","1","0"
"103","769","1","0"
"104","5327","1","0"
"104","7207","1","0"
"105","769","1","0"
"105","1261","1","0"
"106","3359","1","0"
"106","7344","1","0"
"107","3359","1","0"
"107","7352","1","0"
"108","320","1","0"
"108","769","1","0"
"109","3359","1","0"
"109","6883","1","0"
"109","6891","2","0"
"109","7428","2","0"
"110","798","1","0"
"110","807","2","0"
"110","7169","2","0"
"110","7435","1","0"
"111","3617","2","0"
"111","6146","1","0"
"111","6283","1","0"
"111","6288","2","0"
"112","2152","1","0"
"112","7428","1","0"
"114","3359","2","0"
"114","7360","1","0"
"115","769","2","0"
"115","1263","1","0"
"116","3939","1","0"
"116","5634","1","0"
"117","2786","1","0"
"117","2816","1","0"
"118","2281","1","0"
"118","2305","1","0"
"119","780","2","0"
"119","792","1","0"
"120","7169","1","0"
"120","7178","1","0"
"121","546","1","0"
"121","769","1","0"
"122","2305","1","0"
"122","6892","1","0"
"123","4445","1","0"
"123","4461","1","0"
"124","5463","1","0"
"124","7435","1","0"
"125","2289","1","0"
"125","2305","1","0"
"126","2293","1","0"
"126","2305","1","0"
"127","259","1","0"
"128","2624","1","0"
"128","5128","1","0"
"129","984","1","0"
"129","985","2","0"
"129","5407","1","0"
"130","719","1","0"
"130","2305","1","0"
"131","826","1","0"
"131","830","2","0"
"131","2305","1","0"
"131","5128","2","0"
"132","1605","1","0"
"132","2305","1","0"
"133","7169","1","0"
"133","7214","1","0"
"134","95","1","0"
"134","7169","1","0"
"135","1796","1","0"
"135","1801","1","0"
"136","7169","1","0"
"136","7179","1","0"
"137","6146","1","0"
"137","6312","1","0"
"138","94","1","0"
"138","7169","1","0"
"139","2301","1","0"
"139","2305","1","0"
"140","5329","1","0"
"140","7207","1","0"
"141","427","1","0"
"141","7428","1","0"
"142","93","1","0"
"142","7169","1","0"
"143","6628","1","0"
"143","6658","1","0"
"144","4099","1","0"
"144","5634","1","0"
"145","7169","1","0"
"145","7213","1","0"
"146","1537","1","0"
"146","3645","1","0"
"147","908","1","0"
"147","2305","1","0"
"148","172","1","0"
"148","3864","1","0"
"149","694","1","0"
"149","2305","1","0"
"150","780","3","0"
"150","3117","1","0"
"150","4994","2","0"
"150","5536","1","0"
"150","5543","2","0"
"150","5548","3","0"
"151","7169","1","0"
"151","7211","1","0"
"152","330","1","0"
"152","338","1","0"
"152","339","2","0"
"152","5407","2","0"
"153","2305","1","0"
"153","2325","1","0"
"154","7018","1","0"
"154","7169","1","0"
"155","184","1","0"
"155","6658","1","0"
"156","1068","1","0"
"156","5634","1","0"
"157","7169","1","0"
"157","7210","1","0"
"158","4525","1","0"
"159","3359","1","0"
"159","7368","1","0"
"160","1537","1","0"
"160","1989","1","0"
"161","769","1","0"
"161","1266","1","0"
"161","1267","2","0"
"161","5128","2","0"
"162","1075","1","0"
"162","1537","1","0"
"163","7169","1","0"
"163","7181","1","0"
"164","769","1","0"
"164","5385","1","0"
"165","569","1","0"
"165","2305","1","0"
"166","6876","1","0"
"166","7428","1","0"
"167","977","1","0"
"167","2305","1","0"
"168","488","1","0"
"168","1537","1","0"
"170","2305","1","0"
"170","7270","1","0"
"171","118","1","0"
"171","1027","1","0"
"172","2166","1","0"
"172","6680","1","0"
"173","314","1","0"
"173","6698","1","0"
"174","769","1","0"
"174","2103","1","0"
"175","671","1","0"
"175","2305","1","0"
"176","2305","1","0"
"176","2343","1","0"
"177","2053","1","0"
"178","1364","1","0"
"178","2305","1","0"
"179","4907","1","0"
"180","5408","1","0"
"180","5417","1","0"
"183","4240","1","0"
"183","5634","1","0"
"184","6689","1","0"
"184","6732","1","0"
"185","521","2","0"
"185","522","1","0"
"185","523","2","0"
"185","769","1","0"
"186","3072","1","0"
"186","5286","1","0"
"187","769","1","0"
"187","1300","1","0"
"188","2305","2","0"
"188","6680","1","0"
"189","2305","1","0"
"189","2359","1","0"
"190","2305","1","0"
"190","2363","1","0"
"191","153","1","0"
"191","2305","1","0"
"192","5408","1","0"
"192","5420","1","0"
"193","6646","1","0"
"193","6658","1","0"
"194","6652","1","0"
"194","6658","1","0"
"195","6658","1","0"
"200","5129","1","0"
"200","7275","1","0"
"201","769","1","0"
"201","1227","1","0"
"202","769","1","0"
"202","1291","1","0"
"203","6999","1","0"
"203","7003","1","0"
"204","2305","1","0"
"204","2379","1","0"
"205","769","1","0"
"205","1292","1","0"
"206","1408","1","0"
"206","3618","1","0"
"208","3328","1","0"
"208","4642","1","0"
"209","2305","1","0"
"209","2387","1","0"
"210","1649","1","0"
"210","3618","1","0"
"211","2305","1","0"
"211","2395","1","0"
"212","5317","1","0"
"212","7207","1","0"
"213","947","1","0"
"213","1320","1","0"
"214","7169","1","0"
"214","7182","1","0"
"215","2305","1","0"
"215","2403","1","0"
"216","6146","1","0"
"216","6551","1","0"
"217","794","1","0"
"217","2305","1","0"
"218","2305","1","0"
"218","2897","1","0"
"219","2305","1","0"
"219","7266","1","0"
"220","6873","1","0"
"220","7207","1","0"
"221","3359","1","0"
"221","5356","1","0"
"222","2305","1","0"
"222","2863","1","0"
"223","1228","1","0"
"223","1230","1","0"
"224","2305","1","0"
"224","2407","1","0"
"225","1120","1","0"
"225","2305","1","0"
"226","769","1","0"
"226","1294","1","0"
"227","2305","1","0"
"227","2411","1","0"
"228","1109","1","0"
"228","2711","1","0"
"229","2305","1","0"
"229","2415","1","0"
"230","6146","1","0"
"230","6571","1","0"
"231","6146","1","0"
"231","6576","1","0"
"233","418","1","0"
"233","7448","1","0"
"234","1228","1","0"
"234","1231","1","0"
"235","1027","1","0"
"235","1057","1","0"
"236","769","1","0"
"236","1296","1","0"
"238","952","1","0"
"238","1320","1","0"
"239","265","1","0"
"239","6818","1","0"
"240","957","1","0"
"240","1320","1","0"
"242","769","1","0"
"242","1297","1","0"
"243","769","1","0"
"243","1298","1","0"
"244","484","1","0"
"244","2305","1","0"
"245","2305","1","0"
"245","6915","1","0"
"246","769","1","0"
"246","1299","1","0"
"247","3359","1","0"
"247","7400","1","0"
"248","7224","1","0"
"248","7263","1","0"
"249","449","1","0"
"249","5129","1","0"
"251","6689","1","0"
"251","6742","1","0"
"252","1027","1","0"
"252","1660","1","0"
"253","1625","1","0"
"253","3117","1","0"
"254","3117","1","0"
"254","7506","1","0"
"255","7169","1","0"
"255","7205","1","0"
"256","330","2","0"
"256","3359","1","0"
"256","7408","1","0"
"256","7416","2","0"
"257","1191","2","0"
"257","3359","1","0"
"257","5364","1","0"
"257","5372","2","0"
"258","2176","1","0"
"258","2305","1","0"
"259","2305","1","0"
"259","2893","1","0"
"260","4345","1","0"
"260","6146","1","0"
"261","6013","1","0"
"261","6146","1","0"
"262","6023","1","0"
"262","6146","1","0"
"263","5407","1","0"
"264","1462","1","0"
"264","1913","1","0"
"265","769","1","0"
"265","1224","1","0"
"266","769","1","0"
"266","1238","1","0"
"267","758","1","0"
"267","2305","1","0"
"268","528","1","0"
"268","5129","1","0"
"269","640","1","0"
"269","2305","1","0"
"270","1027","1","0"
"270","1232","1","0"
"271","769","1","0"
"271","1239","1","0"
"272","2196","1","0"
"272","2305","1","0"
"273","769","1","0"
"273","1735","1","0"
"274","2942","1","0"
"274","2947","2","0"
"274","3617","2","0"
"274","6146","1","0"
"275","3135","1","0"
"275","3140","2","0"
"275","3617","2","0"
"275","6146","1","0"
"276","3275","1","0"
"276","3280","2","0"
"276","3617","2","0"
"276","6146","1","0"
"277","1905","1","0"
"277","3359","1","0"
"278","1191","1","0"
"279","2305","1","0"
"279","7466","1","0"
"280","1468","1","0"
"280","1913","1","0"
"281","2305","1","0"
"281","2731","1","0"
"282","2208","1","0"
"282","2305","1","0"
"283","2212","1","0"
"283","2305","1","0"
"284","2967","1","0"
"284","4930","1","0"
"285","3160","1","0"
"285","4930","1","0"
"286","3287","1","0"
"286","4930","1","0"
"287","30","1","0"
"287","1540","1","0"
"288","2224","1","0"
"288","2305","1","0"
"289","363","1","0"
"289","1027","1","0"
"290","1022","1","0"
"290","1027","1","0"
"291","1027","1","0"
"291","2041","1","0"
"292","2228","1","0"
"292","2305","1","0"
"293","2232","1","0"
"293","2305","1","0"
