"uid_local","uid_foreign","sorting","sorting_foreign"
"1","1","3","0"
"1","17","1","0"
"1","3415","2","0"
"2","5","1","0"
"2","9","2","0"
"2","10","3","0"
"3","1","1","0"
"4","1","1","0"
"5","1","1","0"
"6","1","1","0"
"7","1","1","0"
"8","1","1","0"
"9","1","1","0"
"10","1","1","0"
"11","1","2","0"
"11","17","1","0"
"12","17","1","0"
"12","3772","3","0"
"12","4290","2","0"
"12","4352","2","0"
"13","1697","3","0"
"13","3584","1","0"
"13","3772","4","0"
"13","4352","2","0"
"13","6381","1","0"
"13","6383","2","0"
"14","1","1","0"
"15","14","1","0"
"16","1","2","0"
"16","17","1","0"
"17","1","1","0"
"18","1","1","0"
"19","1","1","0"
"20","1","1","0"
"21","1","1","0"
"22","1","1","0"
"23","1","1","0"
"24","1","1","0"
"25","1","1","0"
"26","17","1","0"
"26","3772","2","0"
"26","4352","2","0"
"27","1","1","0"
"28","3772","2","0"
"28","4352","1","0"
"28","6157","1","0"
"29","17","1","0"
"29","3772","3","0"
"29","4032","2","0"
"29","4352","2","0"
"30","10","1","0"
"31","1","1","0"
"32","402","2","0"
"32","768","1","0"
"32","4257","1","0"
"33","5","1","0"
"33","9","2","0"
"33","10","3","0"
"34","17","1","0"
"34","3772","3","0"
"34","4112","2","0"
"34","4352","2","0"
"35","1","1","0"
"36","1","1","0"
"37","1","1","0"
"38","1","1","0"
"39","1","1","0"
"40","1","1","0"
"41","1","1","0"
"42","1","1","0"
"43","1","1","0"
"44","1","1","0"
"46","1","2","0"
"46","17","1","0"
"47","3165","2","0"
"47","3788","1","0"
"47","3849","1","0"
"48","1","1","0"
"49","15","1","0"
"49","402","3","0"
"49","768","2","0"
"49","4780","2","0"
"50","1","2","0"
"50","17","1","0"
"51","1","1","0"
"52","1","2","0"
"52","7","3","0"
"52","15","1","0"
"53","1","2","0"
"53","17","1","0"
"54","1","3","0"
"54","5","1","0"
"54","10","2","0"
"55","5","1","0"
"55","9","2","0"
"55","10","3","0"
"56","3772","2","0"
"56","4352","1","0"
"56","6170","1","0"
"57","1","2","0"
"57","17","1","0"
"58","5","1","0"
"59","17","1","0"
"60","5","1","0"
"60","9","2","0"
"60","10","3","0"
"61","5","1","0"
"62","1","1","0"
"63","1","1","0"
"64","1","2","0"
"64","15","1","0"
"65","4","1","0"
"66","5","1","0"
"66","9","2","0"
"66","10","3","0"
"67","1","1","0"
"68","1","1","0"
"69","17","1","0"
"69","3772","3","0"
"69","3806","2","0"
"69","4352","2","0"
"70","402","2","0"
"70","768","1","0"
"70","3385","1","0"
"71","1","2","0"
"71","17","1","0"
"72","1","1","0"
"73","1","2","0"
"73","17","1","0"
"74","1","1","0"
"75","17","1","0"
"75","3772","3","0"
"75","4352","2","0"
"75","4494","2","0"
"76","1","1","0"
"77","3772","2","0"
"77","4352","1","0"
"77","6174","1","0"
"78","1","1","0"
"79","1","1","0"
"80","17","1","0"
"80","3772","3","0"
"80","3813","2","0"
"80","4352","2","0"
"81","1","1","0"
"82","1","1","0"
"83","1","2","0"
"83","17","1","0"
"84","1","1","0"
"85","1","1","0"
"86","1","1","0"
"87","1","1","0"
"88","1","1","0"
"89","1","1","0"
"90","1","1","0"
"91","5","1","0"
"91","9","2","0"
"91","10","3","0"
"92","5","1","0"
"92","9","2","0"
"92","10","3","0"
"93","5","1","0"
"93","9","2","0"
"93","10","3","0"
"94","1","1","0"
"95","402","2","0"
"95","768","1","0"
"95","4189","1","0"
"96","1","1","0"
"97","17","1","0"
"97","3772","3","0"
"97","4120","2","0"
"97","4352","2","0"
"98","402","2","0"
"98","768","1","0"
"98","3396","1","0"
"99","17","1","0"
"99","3772","3","0"
"99","4352","2","0"
"99","5343","2","0"
"100","1","2","0"
"100","5","1","0"
"101","1","2","0"
"101","17","1","0"
"102","17","1","0"
"102","3772","3","0"
"102","4128","2","0"
"102","4352","2","0"
"103","17","1","0"
"103","3772","3","0"
"103","4136","2","0"
"103","4352","2","0"
"104","1","1","0"
"105","17","1","0"
"105","3772","3","0"
"105","3832","2","0"
"105","4352","2","0"
"106","1","1","0"
"107","1","1","0"
"108","1","2","0"
"108","17","1","0"
"109","1","1","0"
"110","1","1","0"
"111","1","1","0"
"112","1","1","0"
"114","1","1","0"
"115","17","1","0"
"115","3772","3","0"
"115","3839","2","0"
"115","4352","4","0"
"116","402","2","0"
"116","768","1","0"
"116","3304","1","0"
"117","402","10","0"
"117","451","6","0"
"117","453","7","0"
"117","457","8","0"
"117","459","9","0"
"117","768","5","0"
"117","2562","4","0"
"117","4610","1","0"
"117","4614","2","0"
"117","4616","3","0"
"117","4622","1","0"
"117","4624","2","0"
"117","4626","3","0"
"117","4628","4","0"
"117","4629","5","0"
"118","17","1","0"
"118","3772","3","0"
"118","4352","2","0"
"119","5","1","0"
"120","1","1","0"
"121","17","1","0"
"121","3772","3","0"
"121","4144","2","0"
"121","4352","2","0"
"122","1","2","0"
"122","17","1","0"
"123","1","1","0"
"124","1","1","0"
"125","1","2","0"
"125","17","1","0"
"126","17","1","0"
"126","3772","3","0"
"126","4352","2","0"
"126","4362","2","0"
"127","1","1","0"
"128","17","1","0"
"128","3772","3","0"
"128","4352","2","0"
"128","4544","2","0"
"129","1","1","0"
"130","1","2","0"
"130","17","1","0"
"131","1","2","0"
"131","17","1","0"
"132","1","2","0"
"132","17","1","0"
"133","1","1","0"
"134","1","1","0"
"135","1","4","0"
"135","5","1","0"
"135","9","2","0"
"135","10","3","0"
"136","3772","2","0"
"136","4352","1","0"
"136","6181","1","0"
"137","1","1","0"
"137","3772","3","0"
"137","4352","2","0"
"137","5557","1","0"
"138","1","1","0"
"139","14","2","0"
"139","15","3","0"
"139","17","1","0"
"140","1","1","0"
"141","1","1","0"
"142","1","1","0"
"143","1","1","0"
"144","402","2","0"
"144","768","1","0"
